,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 15:37:25,21.875,12.5,7.8125,7.8125,12.5,45,54,47,49,49,4399.994,4399.994,4399.994,4399.994,39.37348,29.1633968,0,6.35613251,99.99987,41.93814,13.3880882,18.5353279,40,1570,950.0095,3505.50024,1900.019,4,6,0,41,31.7720413,10.227273,12.5,715,937,65,60,0,13608,9,30.0678959
03/17/2015 15:37:26,22.9640121,10.6534119,6.1553,13.6363621,13.3522692,55,47,46,44,55,4399.993,4399.993,4399.993,4399.993,42.5791626,32.60622,0,6.40241575,99.99985,41.9336281,13.3866463,18.53677,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.984848,13.257576,714,937,72,64,0,13608,9,29.52756
03/17/2015 15:37:27,23.4375,9.375,10.9375,20.3125,16.015625,45,48,46,50,50,4399.993,4399.993,4399.993,4399.993,42.82354,32.6477165,0,6.35426,99.99985,41.9287643,13.3850937,18.5383224,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,13.671875,16.015625,713,937,75,60,0,13608,9,30.0678959
03/17/2015 15:37:28,21.2121239,6.060606,9.00178,22.7272758,14.7504444,55,44,44,44,55,4399.99951,4399.99951,4399.99951,4399.99951,40.57306,30.5621777,0,6.3432045,99.99999,41.9279633,13.3848381,18.538578,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.8081179,15.1291513,712,937,71,64,0,13608,9,30.03876
03/17/2015 15:37:29,18.75,9.375,4.6875,14.0625,11.71875,47,47,51,52,54,4399.99951,4399.99951,4399.99951,4399.99951,39.70098,29.8573322,0,6.25436163,99.99999,41.922718,13.3831635,18.5402527,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.7142859,12.5,711,937,72,64,0,13608,9,30.0678959
03/17/2015 15:37:30,17.1875,10.9375,3.125,9.2803,10.132575,53,46,44,45,53,4399.99463,4399.99463,4399.99463,4399.99463,36.99235,27.0510483,0,6.240143,99.99988,41.9232559,13.3833351,18.540081,40,1571,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,7.9545455,9.848485,711,937,69,64,0,13608,9,30.0678959
03/17/2015 15:37:31,17.1875,9.375,4.6875,15.625,11.71875,46,45,50,48,48,4399.99854,4399.99854,4399.99854,4399.99854,38.41345,28.44584,0,6.295511,99.99996,41.9406776,13.3888969,18.53452,40,1570,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.15625,11.71875,717,945,66,60,0,13608,9,30.0678959
03/17/2015 15:37:32,28.7878761,3.03030014,6.060606,12.121212,12.4999943,57,48,56,48,56,4399.998,4399.998,4399.998,4399.998,38.89184,28.9843864,0,6.2616086,99.9999542,41.93879,13.3882942,18.5351219,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.984848,12.5,716,945,73,64,0,13608,9,29.6084042
03/17/2015 15:37:33,25.80645,4.838711,4.838711,12.9032249,12.0967751,53,47,45,48,48,4399.998,4399.998,4399.998,4399.998,38.1163254,28.049551,0,6.3303957,99.9999542,41.93634,13.3875122,18.5359039,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.15625,12.109375,716,945,64,62,0,13608,9,29.6084042
03/17/2015 15:37:33,10.9375,12.5,10.9375,20.3125,13.671875,52,53,57,51,53,4399.99756,4399.99756,4399.99756,4399.99756,42.1317825,31.8835163,0,6.40035,99.99995,41.93401,13.3867683,18.5366478,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.3970585,13.6029415,716,945,70,60,0,13608,9,30.0678959
